company_size,annual_revenue,industry_sector,fleet_size,vehicle_types,avg_vehicle_age,maintenance_approach,monthly_downtime_incidents,cost_per_downtime,downtime_causes,connected_systems,predictive_maintenance_familiarity,main_adoption_barrier,adoption_likelihood_12mo,budget_pct_predictive,adoption_driver,downtime_reduction_justify,dashboard_features,api_integration_importance,sustainability_tracking_method,annual_co2_savings_target,interest_auto_sustain_analytics,business_priorities,cost_reliability_preference,fleet_performance_measures,interested_in_pilot
51–200,5M–20M,Retail/E-commerce,25–100,Trucks,2–5,Predictive,3,1492,Tire issues,TMS,Not familiar,Data security concerns,Likely,10–25%,Cost savings,10–20%,"Predictive alerts,Sustainability/CO₂ reports,Parts availability",Slightly important,Not tracked,>10%,Medium,"Safety,Regulatory compliance,Cost reduction","Lower cost, moderate reliability","Downtime hours,Fuel efficiency,Emission metrics",Yes
<50,20M–100M,Logistics provider,>500,"Forklifts,Vans,Delivery bikes",2–5,Predictive,2,1584,"Accidents,Electrical issues,Tire issues","ERP,WMS",Heard of it,Complexity,Neutral,26–50%,Uptime improvement,21–30%,"Real-time health scores,Sustainability/CO₂ reports,Maintenance scheduling",Critical,Not tracked,<2%,High,"Sustainability,Cost reduction,Customer satisfaction","Lower cost, moderate reliability","Delivery delays,Downtime hours",Yes
201–500,1M–5M,Logistics provider,<25,"Trucks,Delivery bikes,Electric vehicles (EVs),Forklifts",6–10,Preventive,5,300,Electrical issues,"WMS,None",Heard of it,Not a priority,Unlikely,26–50%,Competitive advantage,21–30%,Predictive alerts,Moderately important,3rd party tool,>10%,None,"Cost reduction,Safety,Regulatory compliance","Moderate cost, high reliability","Delivery delays,Emission metrics,Downtime hours,Repair costs",Maybe
501–1000,1M–5M,Logistics provider,101–250,"Electric vehicles (EVs),Forklifts",>10,Reactive,4,1570,Mechanical failure,ERP,Very familiar,Other,Neutral,10–25%,Regulatory compliance,21–30%,"Real-time health scores,Predictive alerts",Slightly important,In-house software,6–10%,None,"Customer satisfaction,Uptime/reliability,Safety","Moderate cost, high reliability","Repair costs,Downtime hours",Yes
51–200,1M–5M,Logistics provider,<25,Delivery bikes,6–10,Reactive,0,578,"Tire issues,Mechanical failure","TMS,WMS,ERP",Very familiar,Data security concerns,Unlikely,10–25%,Sustainability goals,10–20%,Parts availability,Very important,Not tracked,<2%,Essential,"Sustainability,Regulatory compliance,Customer satisfaction","Moderate cost, high reliability",Delivery delays,Yes
201–500,5M–20M,Logistics provider,25–100,"Delivery bikes,Electric vehicles (EVs),Trucks",2–5,Predictive,2,1123,"Electrical issues,Battery/charging (for EVs)",TMS,Currently using,Other,Likely,10–25%,Sustainability goals,>30%,Real-time health scores,Critical,Manual spreadsheet,<2%,Low,"Sustainability,Regulatory compliance,Safety","Moderate cost, high reliability","Delivery delays,Repair costs,Downtime hours,Emission metrics",Yes
<50,5M–20M,Logistics provider,251–500,"Electric vehicles (EVs),Vans,Trucks",2–5,Reactive,5,1829,"Accidents,Mechanical failure,Electrical issues",None,Somewhat familiar,Data security concerns,Very unlikely,26–50%,Competitive advantage,21–30%,Sustainability/CO₂ reports,Moderately important,Manual spreadsheet,2–5%,Medium,"Safety,Cost reduction,Uptime/reliability","Lower cost, moderate reliability","Emission metrics,Fuel efficiency",Yes
<50,<1M,Food & Beverage,25–100,"Trucks,Electric vehicles (EVs)",>10,Reactive,3,1761,"Battery/charging (for EVs),Electrical issues","WMS,ERP,None",Heard of it,Not a priority,Likely,10–25%,Competitive advantage,<10%,Fuel efficiency analytics,Moderately important,Manual spreadsheet,<2%,Essential,"Sustainability,Cost reduction,Customer satisfaction","Moderate cost, high reliability","Fuel efficiency,Delivery delays",Yes
201–500,20M–100M,Retail/E-commerce,>500,"Electric vehicles (EVs),Trucks,Forklifts",>10,Reactive,1,1863,"Mechanical failure,Battery/charging (for EVs),Accidents","WMS,None",Heard of it,Data security concerns,Unlikely,10–25%,Cost savings,<10%,"Cost–benefit analysis,Fuel efficiency analytics",Slightly important,3rd party tool,6–10%,None,"Uptime/reliability,Cost reduction,Sustainability","Moderate cost, high reliability","Delivery delays,Fuel efficiency",Maybe
201–500,<1M,Retail/E-commerce,101–250,"Electric vehicles (EVs),Delivery bikes,Vans",>10,Preventive,1,667,"Mechanical failure,Electrical issues,Battery/charging (for EVs)",None,Heard of it,Lack of internal skills,Very likely,>50%,Regulatory compliance,21–30%,"Parts availability,Sustainability/CO₂ reports",Moderately important,In-house software,6–10%,Essential,"Cost reduction,Customer satisfaction,Uptime/reliability","Moderate cost, high reliability",Fuel efficiency,Yes
201–500,5M–20M,Logistics provider,25–100,"Delivery bikes,Electric vehicles (EVs),Forklifts",6–10,Reactive,2,790,Electrical issues,"WMS,None,ERP",Heard of it,Data security concerns,Likely,26–50%,Regulatory compliance,21–30%,Real-time health scores,Not important,Not tracked,2–5%,None,"Regulatory compliance,Sustainability,Safety","Moderate cost, high reliability","Repair costs,Downtime hours",No
501–1000,5M–20M,Other,25–100,Vans,2–5,Preventive,2,919,"Battery/charging (for EVs),Tire issues",ERP,Very familiar,Complexity,Neutral,<10%,Competitive advantage,21–30%,Parts availability,Very important,Manual spreadsheet,<2%,Low,"Customer satisfaction,Sustainability,Cost reduction","Higher cost, maximum reliability","Repair costs,Delivery delays,Emission metrics,Fuel efficiency",Yes
>1000,20M–100M,Logistics provider,25–100,"Delivery bikes,Forklifts",6–10,Preventive,5,1127,"Battery/charging (for EVs),Mechanical failure,Tire issues",ERP,Somewhat familiar,Data security concerns,Neutral,10–25%,Uptime improvement,>30%,"Predictive alerts,Real-time health scores",Critical,Not tracked,>10%,None,"Cost reduction,Customer satisfaction,Sustainability","Moderate cost, high reliability","Delivery delays,Repair costs,Downtime hours",No
201–500,5M–20M,Logistics provider,25–100,Vans,2–5,Predictive,3,1308,"Battery/charging (for EVs),Electrical issues,Mechanical failure","WMS,ERP,None",Somewhat familiar,Cost,Unlikely,10–25%,Regulatory compliance,10–20%,"Maintenance scheduling,Fuel efficiency analytics",Very important,Manual spreadsheet,<2%,Medium,"Regulatory compliance,Safety,Uptime/reliability","Lower cost, moderate reliability","Fuel efficiency,Delivery delays,Downtime hours",Maybe
51–200,20M–100M,Manufacturing,<25,"Electric vehicles (EVs),Forklifts",2–5,Reactive,7,1839,"Battery/charging (for EVs),Mechanical failure",WMS,Not familiar,Data security concerns,Likely,26–50%,Sustainability goals,>30%,Maintenance scheduling,Moderately important,In-house software,<2%,Essential,"Cost reduction,Safety,Sustainability","Moderate cost, high reliability",Delivery delays,Maybe
501–1000,1M–5M,Logistics provider,25–100,Vans,6–10,Preventive,5,736,Accidents,None,Not familiar,Other,Neutral,<10%,Competitive advantage,>30%,Cost–benefit analysis,Moderately important,Manual spreadsheet,2–5%,Essential,"Safety,Customer satisfaction,Cost reduction","Moderate cost, high reliability","Repair costs,Delivery delays",Maybe
51–200,20M–100M,Logistics provider,25–100,"Electric vehicles (EVs),Delivery bikes",<2,Preventive,3,886,Mechanical failure,"TMS,None,ERP",Heard of it,Not a priority,Likely,10–25%,Regulatory compliance,<10%,"Cost–benefit analysis,Real-time health scores,Parts availability",Moderately important,Not tracked,>10%,High,"Cost reduction,Sustainability,Regulatory compliance","Lower cost, moderate reliability",Repair costs,Yes
51–200,<1M,Retail/E-commerce,101–250,"Forklifts,Trucks",<2,Preventive,6,1912,"Accidents,Mechanical failure","None,ERP,WMS",Not familiar,Cost,Very unlikely,10–25%,Cost savings,>30%,"Maintenance scheduling,Parts availability",Moderately important,Manual spreadsheet,6–10%,Low,"Safety,Sustainability,Cost reduction","Moderate cost, high reliability",Emission metrics,Maybe
<50,20M–100M,Food & Beverage,101–250,Delivery bikes,2–5,Preventive,4,620,"Electrical issues,Battery/charging (for EVs),Mechanical failure",None,Very familiar,Not a priority,Unlikely,<10%,Competitive advantage,21–30%,"Fuel efficiency analytics,Maintenance scheduling",Very important,3rd party tool,2–5%,Essential,"Customer satisfaction,Cost reduction,Regulatory compliance","Higher cost, maximum reliability","Emission metrics,Fuel efficiency,Repair costs",Yes
<50,5M–20M,Retail/E-commerce,101–250,"Forklifts,Delivery bikes",2–5,Predictive,2,1563,Electrical issues,"None,ERP,TMS",Not familiar,Other,Neutral,10–25%,Sustainability goals,21–30%,"Cost–benefit analysis,Sustainability/CO₂ reports",Critical,Manual spreadsheet,2–5%,High,"Customer satisfaction,Cost reduction,Sustainability","Moderate cost, high reliability","Emission metrics,Delivery delays",Yes
>1000,20M–100M,Manufacturing,<25,Trucks,6–10,Reactive,1,1156,Accidents,"None,TMS,WMS",Very familiar,Complexity,Very unlikely,10–25%,Cost savings,21–30%,Sustainability/CO₂ reports,Not important,Not tracked,2–5%,Medium,"Regulatory compliance,Sustainability,Cost reduction","Moderate cost, high reliability","Repair costs,Delivery delays",Maybe
501–1000,5M–20M,Other,25–100,"Vans,Electric vehicles (EVs),Trucks,Delivery bikes",2–5,Predictive,3,1394,"Tire issues,Battery/charging (for EVs),Electrical issues","TMS,ERP",Somewhat familiar,Lack of internal skills,Likely,10–25%,Competitive advantage,>30%,"Maintenance scheduling,Real-time health scores,Fuel efficiency analytics",Critical,In-house software,<2%,Essential,"Cost reduction,Regulatory compliance,Uptime/reliability","Higher cost, maximum reliability",Fuel efficiency,Yes
201–500,5M–20M,Logistics provider,101–250,"Vans,Delivery bikes,Trucks",2–5,Preventive,2,794,"Mechanical failure,Accidents","TMS,WMS",Not familiar,Complexity,Very unlikely,10–25%,Competitive advantage,>30%,"Sustainability/CO₂ reports,Parts availability,Fuel efficiency analytics",Critical,Manual spreadsheet,6–10%,Essential,"Cost reduction,Customer satisfaction,Regulatory compliance","Moderate cost, high reliability","Delivery delays,Repair costs,Downtime hours,Emission metrics",Yes
51–200,5M–20M,Logistics provider,25–100,"Forklifts,Trucks,Electric vehicles (EVs)",2–5,Reactive,4,1554,"Tire issues,Accidents","TMS,None,ERP",Very familiar,Cost,Very likely,10–25%,Regulatory compliance,21–30%,Cost–benefit analysis,Slightly important,3rd party tool,<2%,High,"Cost reduction,Uptime/reliability,Customer satisfaction","Moderate cost, high reliability","Delivery delays,Downtime hours,Emission metrics",Maybe
51–200,5M–20M,Logistics provider,<25,"Forklifts,Delivery bikes",<2,Predictive,6,873,"Electrical issues,Battery/charging (for EVs)","None,ERP,WMS",Somewhat familiar,Other,Likely,10–25%,Cost savings,10–20%,"Real-time health scores,Parts availability",Slightly important,Manual spreadsheet,2–5%,Low,"Regulatory compliance,Cost reduction,Uptime/reliability","Moderate cost, high reliability",Repair costs,Maybe
51–200,<1M,Logistics provider,251–500,"Delivery bikes,Trucks,Vans,Forklifts",<2,Preventive,2,490,"Mechanical failure,Tire issues","ERP,WMS",Heard of it,Other,Unlikely,10–25%,Competitive advantage,21–30%,"Maintenance scheduling,Parts availability,Sustainability/CO₂ reports",Moderately important,In-house software,2–5%,Essential,"Sustainability,Regulatory compliance,Cost reduction","Moderate cost, high reliability","Repair costs,Downtime hours,Emission metrics,Delivery delays",Yes
51–200,<1M,Logistics provider,251–500,"Electric vehicles (EVs),Vans",6–10,Reactive,3,1440,Electrical issues,"None,TMS",Very familiar,Lack of internal skills,Neutral,<10%,Sustainability goals,<10%,"Sustainability/CO₂ reports,Real-time health scores",Very important,Manual spreadsheet,<2%,None,"Uptime/reliability,Sustainability,Safety","Moderate cost, high reliability","Downtime hours,Repair costs,Emission metrics",Maybe
201–500,1M–5M,Other,25–100,Vans,2–5,Reactive,2,300,"Mechanical failure,Electrical issues,Tire issues",None,Not familiar,Data security concerns,Neutral,<10%,Cost savings,21–30%,Fuel efficiency analytics,Slightly important,3rd party tool,>10%,High,"Cost reduction,Sustainability,Safety","Moderate cost, high reliability",Emission metrics,Maybe
501–1000,1M–5M,Manufacturing,<25,"Electric vehicles (EVs),Vans",6–10,Reactive,6,916,"Battery/charging (for EVs),Accidents",TMS,Heard of it,Cost,Likely,26–50%,Regulatory compliance,>30%,"Predictive alerts,Cost–benefit analysis,Maintenance scheduling",Slightly important,In-house software,2–5%,Low,"Safety,Regulatory compliance,Cost reduction","Lower cost, moderate reliability","Emission metrics,Repair costs",Maybe
201–500,20M–100M,Manufacturing,101–250,"Forklifts,Vans,Trucks",>10,Preventive,1,1346,"Electrical issues,Tire issues",WMS,Very familiar,Lack of internal skills,Neutral,10–25%,Uptime improvement,10–20%,"Cost–benefit analysis,Maintenance scheduling,Predictive alerts",Critical,Manual spreadsheet,<2%,Essential,"Sustainability,Regulatory compliance,Cost reduction","Higher cost, maximum reliability","Delivery delays,Repair costs,Fuel efficiency",No
51–200,1M–5M,Logistics provider,101–250,"Forklifts,Vans",6–10,Reactive,8,1579,"Electrical issues,Battery/charging (for EVs)","WMS,None",Very familiar,Not a priority,Very unlikely,26–50%,Competitive advantage,<10%,"Cost–benefit analysis,Maintenance scheduling,Real-time health scores",Slightly important,Not tracked,>10%,Medium,"Sustainability,Safety,Customer satisfaction","Lower cost, moderate reliability","Fuel efficiency,Downtime hours,Emission metrics",Maybe
>1000,>100M,Food & Beverage,251–500,"Electric vehicles (EVs),Forklifts",<2,Reactive,3,1813,"Tire issues,Electrical issues","None,ERP,WMS",Heard of it,Lack of internal skills,Unlikely,10–25%,Uptime improvement,21–30%,"Real-time health scores,Cost–benefit analysis",Moderately important,Manual spreadsheet,<2%,Medium,"Sustainability,Uptime/reliability,Customer satisfaction","Lower cost, moderate reliability",Repair costs,Maybe
501–1000,1M–5M,Other,101–250,"Vans,Trucks,Forklifts,Electric vehicles (EVs)",2–5,Reactive,6,2089,Mechanical failure,"TMS,None",Not familiar,Not a priority,Neutral,<10%,Competitive advantage,10–20%,"Cost–benefit analysis,Parts availability,Sustainability/CO₂ reports",Very important,3rd party tool,<2%,Low,"Regulatory compliance,Customer satisfaction,Uptime/reliability","Moderate cost, high reliability","Downtime hours,Delivery delays",Maybe
201–500,1M–5M,Food & Beverage,251–500,"Trucks,Electric vehicles (EVs)",6–10,Preventive,1,1936,Electrical issues,"TMS,ERP",Very familiar,Not a priority,Very likely,26–50%,Regulatory compliance,10–20%,Fuel efficiency analytics,Critical,3rd party tool,2–5%,High,"Cost reduction,Customer satisfaction,Uptime/reliability","Higher cost, maximum reliability","Repair costs,Emission metrics,Fuel efficiency",No
201–500,20M–100M,Logistics provider,25–100,"Delivery bikes,Forklifts,Electric vehicles (EVs)",2–5,Predictive,4,1296,"Battery/charging (for EVs),Mechanical failure",WMS,Heard of it,Other,Very likely,<10%,Regulatory compliance,21–30%,"Real-time health scores,Cost–benefit analysis,Sustainability/CO₂ reports",Moderately important,Not tracked,<2%,Essential,"Safety,Cost reduction,Customer satisfaction","Moderate cost, high reliability","Repair costs,Fuel efficiency,Delivery delays,Downtime hours",No
51–200,5M–20M,Manufacturing,<25,"Electric vehicles (EVs),Vans,Trucks,Delivery bikes",6–10,Predictive,1,1763,"Tire issues,Battery/charging (for EVs),Accidents",ERP,Heard of it,Lack of internal skills,Unlikely,>50%,Regulatory compliance,>30%,"Predictive alerts,Real-time health scores,Cost–benefit analysis",Slightly important,Manual spreadsheet,>10%,Essential,"Cost reduction,Uptime/reliability,Safety","Higher cost, maximum reliability",Emission metrics,No
51–200,5M–20M,Logistics provider,101–250,"Forklifts,Trucks,Delivery bikes",6–10,Reactive,0,1288,"Tire issues,Battery/charging (for EVs),Mechanical failure","TMS,None",Somewhat familiar,Other,Likely,<10%,Regulatory compliance,21–30%,"Cost–benefit analysis,Parts availability,Sustainability/CO₂ reports",Very important,3rd party tool,<2%,None,"Sustainability,Cost reduction,Uptime/reliability","Moderate cost, high reliability","Downtime hours,Fuel efficiency,Repair costs,Emission metrics",Maybe
51–200,5M–20M,Logistics provider,101–250,"Electric vehicles (EVs),Forklifts,Trucks,Delivery bikes",>10,Predictive,0,1543,"Tire issues,Electrical issues,Accidents",None,Currently using,Other,Very likely,10–25%,Cost savings,21–30%,"Cost–benefit analysis,Sustainability/CO₂ reports,Real-time health scores",Very important,In-house software,<2%,Medium,"Sustainability,Safety,Uptime/reliability","Moderate cost, high reliability",Repair costs,Yes
501–1000,5M–20M,Logistics provider,101–250,"Forklifts,Trucks",>10,Preventive,4,900,"Accidents,Mechanical failure","None,WMS",Not familiar,Complexity,Very unlikely,<10%,Cost savings,21–30%,"Parts availability,Real-time health scores,Sustainability/CO₂ reports",Critical,In-house software,6–10%,Medium,"Customer satisfaction,Cost reduction,Regulatory compliance","Higher cost, maximum reliability","Downtime hours,Fuel efficiency,Emission metrics,Repair costs",Yes
<50,1M–5M,Manufacturing,<25,"Trucks,Forklifts,Vans,Electric vehicles (EVs)",6–10,Predictive,4,1431,"Mechanical failure,Accidents",WMS,Very familiar,Complexity,Likely,26–50%,Competitive advantage,<10%,"Real-time health scores,Predictive alerts",Slightly important,In-house software,<2%,Medium,"Cost reduction,Safety,Sustainability","Lower cost, moderate reliability","Repair costs,Emission metrics,Delivery delays",Maybe
<50,>100M,Manufacturing,25–100,Delivery bikes,2–5,Preventive,4,963,"Accidents,Mechanical failure,Battery/charging (for EVs)","ERP,None,TMS",Somewhat familiar,Other,Neutral,>50%,Cost savings,>30%,"Fuel efficiency analytics,Sustainability/CO₂ reports,Maintenance scheduling",Very important,Manual spreadsheet,>10%,Essential,"Safety,Uptime/reliability,Cost reduction","Higher cost, maximum reliability","Delivery delays,Fuel efficiency",Yes
<50,>100M,Logistics provider,251–500,"Trucks,Electric vehicles (EVs),Forklifts,Vans",>10,Preventive,2,1113,"Tire issues,Accidents","None,ERP",Somewhat familiar,Other,Likely,<10%,Competitive advantage,21–30%,"Predictive alerts,Real-time health scores,Parts availability",Moderately important,In-house software,2–5%,High,"Sustainability,Cost reduction,Safety","Higher cost, maximum reliability","Repair costs,Emission metrics",No
<50,5M–20M,Logistics provider,101–250,"Trucks,Forklifts,Vans",2–5,Predictive,3,1433,"Tire issues,Battery/charging (for EVs),Accidents",None,Very familiar,Not a priority,Likely,10–25%,Cost savings,>30%,"Maintenance scheduling,Fuel efficiency analytics",Critical,3rd party tool,<2%,Medium,"Regulatory compliance,Sustainability,Safety","Higher cost, maximum reliability","Delivery delays,Emission metrics,Repair costs,Fuel efficiency",Yes
>1000,1M–5M,Retail/E-commerce,>500,"Electric vehicles (EVs),Delivery bikes,Trucks,Vans",<2,Reactive,3,2246,"Electrical issues,Mechanical failure","None,ERP",Currently using,Other,Very likely,<10%,Cost savings,>30%,"Maintenance scheduling,Real-time health scores",Moderately important,In-house software,<2%,Medium,"Cost reduction,Regulatory compliance,Uptime/reliability","Higher cost, maximum reliability","Repair costs,Fuel efficiency,Emission metrics,Delivery delays",No
501–1000,5M–20M,Logistics provider,101–250,"Trucks,Forklifts",6–10,Preventive,4,1397,Tire issues,ERP,Heard of it,Cost,Unlikely,26–50%,Cost savings,10–20%,Cost–benefit analysis,Moderately important,Manual spreadsheet,2–5%,High,"Safety,Sustainability,Customer satisfaction","Higher cost, maximum reliability","Delivery delays,Fuel efficiency,Repair costs",Maybe
201–500,<1M,Logistics provider,101–250,"Trucks,Electric vehicles (EVs),Vans,Forklifts",6–10,Predictive,7,1194,Battery/charging (for EVs),"WMS,ERP,TMS",Not familiar,Lack of internal skills,Likely,10–25%,Sustainability goals,>30%,"Predictive alerts,Parts availability,Maintenance scheduling",Slightly important,Manual spreadsheet,2–5%,Low,"Safety,Sustainability,Regulatory compliance","Lower cost, moderate reliability","Emission metrics,Delivery delays,Downtime hours,Fuel efficiency",Maybe
<50,<1M,Logistics provider,101–250,Trucks,6–10,Predictive,0,784,Battery/charging (for EVs),"TMS,ERP,WMS",Currently using,Cost,Unlikely,10–25%,Regulatory compliance,>30%,"Sustainability/CO₂ reports,Parts availability",Moderately important,In-house software,<2%,Low,"Customer satisfaction,Cost reduction,Regulatory compliance","Moderate cost, high reliability","Fuel efficiency,Emission metrics,Delivery delays,Repair costs",Yes
201–500,1M–5M,Manufacturing,251–500,"Delivery bikes,Trucks,Electric vehicles (EVs),Vans",6–10,Predictive,3,1648,Battery/charging (for EVs),"TMS,ERP",Very familiar,Complexity,Neutral,<10%,Sustainability goals,21–30%,Cost–benefit analysis,Moderately important,In-house software,6–10%,Low,"Uptime/reliability,Safety,Regulatory compliance","Moderate cost, high reliability",Delivery delays,Maybe
201–500,5M–20M,Logistics provider,101–250,"Vans,Trucks,Forklifts",2–5,Preventive,4,1032,Accidents,TMS,Somewhat familiar,Cost,Very likely,26–50%,Cost savings,10–20%,"Real-time health scores,Cost–benefit analysis,Sustainability/CO₂ reports",Not important,Manual spreadsheet,2–5%,Low,"Safety,Customer satisfaction,Sustainability","Lower cost, moderate reliability","Downtime hours,Emission metrics,Delivery delays",Yes
51–200,20M–100M,Logistics provider,101–250,Trucks,>10,Reactive,4,1387,"Electrical issues,Accidents,Battery/charging (for EVs)","ERP,None,TMS",Somewhat familiar,Data security concerns,Likely,10–25%,Cost savings,>30%,Maintenance scheduling,Moderately important,In-house software,2–5%,Medium,"Customer satisfaction,Cost reduction,Regulatory compliance","Moderate cost, high reliability","Repair costs,Fuel efficiency",Yes
51–200,5M–20M,Logistics provider,<25,Vans,6–10,Reactive,3,1551,Tire issues,"WMS,TMS",Very familiar,Data security concerns,Neutral,26–50%,Sustainability goals,10–20%,"Real-time health scores,Predictive alerts",Moderately important,3rd party tool,<2%,Essential,"Sustainability,Cost reduction,Customer satisfaction","Lower cost, moderate reliability","Delivery delays,Fuel efficiency,Repair costs,Emission metrics",No
51–200,5M–20M,Other,25–100,"Forklifts,Delivery bikes,Trucks",6–10,Preventive,3,1832,Mechanical failure,"TMS,WMS,None",Very familiar,Complexity,Likely,26–50%,Competitive advantage,21–30%,Maintenance scheduling,Critical,Manual spreadsheet,2–5%,Low,"Sustainability,Safety,Cost reduction","Lower cost, moderate reliability","Repair costs,Fuel efficiency,Delivery delays,Downtime hours",Maybe
201–500,5M–20M,Manufacturing,101–250,Delivery bikes,2–5,Preventive,3,1621,Electrical issues,WMS,Currently using,Cost,Very unlikely,<10%,Regulatory compliance,<10%,Parts availability,Slightly important,Not tracked,<2%,Essential,"Customer satisfaction,Regulatory compliance,Uptime/reliability","Higher cost, maximum reliability",Fuel efficiency,Yes
201–500,1M–5M,Manufacturing,25–100,"Electric vehicles (EVs),Forklifts,Trucks,Delivery bikes",2–5,Reactive,2,588,"Accidents,Battery/charging (for EVs)","None,WMS,ERP",Somewhat familiar,Lack of internal skills,Unlikely,10–25%,Competitive advantage,21–30%,"Maintenance scheduling,Cost–benefit analysis",Very important,Not tracked,<2%,High,"Safety,Sustainability,Uptime/reliability","Higher cost, maximum reliability","Delivery delays,Repair costs,Emission metrics,Fuel efficiency",Maybe
<50,1M–5M,Logistics provider,25–100,"Trucks,Forklifts,Electric vehicles (EVs)",6–10,Reactive,2,341,Electrical issues,"None,ERP,TMS",Heard of it,Complexity,Likely,10–25%,Regulatory compliance,>30%,"Maintenance scheduling,Predictive alerts",Very important,Manual spreadsheet,>10%,High,"Uptime/reliability,Regulatory compliance,Cost reduction","Higher cost, maximum reliability","Fuel efficiency,Emission metrics",Yes
51–200,>100M,Retail/E-commerce,25–100,"Delivery bikes,Forklifts,Electric vehicles (EVs)",<2,Preventive,4,1551,"Electrical issues,Battery/charging (for EVs)","TMS,WMS,ERP",Somewhat familiar,Data security concerns,Likely,10–25%,Uptime improvement,10–20%,"Sustainability/CO₂ reports,Fuel efficiency analytics",Slightly important,Manual spreadsheet,2–5%,Low,"Customer satisfaction,Uptime/reliability,Cost reduction","Higher cost, maximum reliability","Downtime hours,Fuel efficiency",Yes
201–500,<1M,Logistics provider,25–100,Delivery bikes,2–5,Predictive,2,1243,"Electrical issues,Accidents",WMS,Somewhat familiar,Complexity,Neutral,<10%,Regulatory compliance,>30%,Cost–benefit analysis,Not important,3rd party tool,<2%,Low,"Uptime/reliability,Safety,Sustainability","Moderate cost, high reliability","Emission metrics,Fuel efficiency",Maybe
201–500,20M–100M,Manufacturing,25–100,"Electric vehicles (EVs),Vans,Forklifts",6–10,Predictive,4,1396,"Accidents,Battery/charging (for EVs)","ERP,TMS,WMS",Somewhat familiar,Cost,Likely,26–50%,Competitive advantage,10–20%,"Parts availability,Maintenance scheduling,Fuel efficiency analytics",Critical,Manual spreadsheet,<2%,Low,"Customer satisfaction,Sustainability,Regulatory compliance","Higher cost, maximum reliability",Repair costs,No
>1000,5M–20M,Other,25–100,"Forklifts,Trucks",2–5,Predictive,4,2060,Tire issues,"TMS,WMS",Somewhat familiar,Cost,Neutral,>50%,Regulatory compliance,21–30%,Real-time health scores,Slightly important,Not tracked,2–5%,High,"Customer satisfaction,Safety,Uptime/reliability","Moderate cost, high reliability",Downtime hours,Maybe
201–500,5M–20M,Manufacturing,>500,"Forklifts,Electric vehicles (EVs)",2–5,Predictive,4,892,"Accidents,Tire issues,Battery/charging (for EVs)","WMS,None",Heard of it,Cost,Very unlikely,>50%,Uptime improvement,21–30%,"Real-time health scores,Parts availability",Slightly important,In-house software,6–10%,High,"Sustainability,Customer satisfaction,Regulatory compliance","Higher cost, maximum reliability","Emission metrics,Downtime hours,Repair costs",Yes
51–200,5M–20M,Food & Beverage,25–100,"Forklifts,Electric vehicles (EVs),Trucks",2–5,Preventive,4,1846,Accidents,WMS,Somewhat familiar,Not a priority,Neutral,26–50%,Uptime improvement,10–20%,Parts availability,Moderately important,In-house software,<2%,Essential,"Cost reduction,Safety,Uptime/reliability","Lower cost, moderate reliability",Fuel efficiency,Maybe
<50,5M–20M,Manufacturing,25–100,"Vans,Trucks",2–5,Predictive,4,897,"Battery/charging (for EVs),Electrical issues",TMS,Very familiar,Cost,Very likely,10–25%,Cost savings,21–30%,"Predictive alerts,Real-time health scores",Moderately important,Manual spreadsheet,2–5%,Medium,"Uptime/reliability,Cost reduction,Safety","Higher cost, maximum reliability","Repair costs,Delivery delays,Emission metrics,Downtime hours",Maybe
201–500,20M–100M,Logistics provider,<25,Electric vehicles (EVs),6–10,Preventive,2,1983,"Mechanical failure,Electrical issues,Tire issues",WMS,Very familiar,Other,Very likely,10–25%,Uptime improvement,>30%,"Real-time health scores,Predictive alerts,Maintenance scheduling",Moderately important,In-house software,2–5%,Medium,"Cost reduction,Customer satisfaction,Regulatory compliance","Moderate cost, high reliability","Delivery delays,Fuel efficiency",Yes
<50,20M–100M,Other,101–250,"Electric vehicles (EVs),Vans",2–5,Predictive,2,1575,"Mechanical failure,Electrical issues","TMS,ERP",Somewhat familiar,Data security concerns,Neutral,<10%,Sustainability goals,10–20%,"Maintenance scheduling,Sustainability/CO₂ reports",Critical,Manual spreadsheet,>10%,Medium,"Uptime/reliability,Customer satisfaction,Cost reduction","Moderate cost, high reliability","Repair costs,Delivery delays",No
201–500,5M–20M,Logistics provider,25–100,"Forklifts,Vans",<2,Predictive,4,446,"Electrical issues,Mechanical failure","WMS,ERP",Heard of it,Data security concerns,Very unlikely,10–25%,Competitive advantage,21–30%,"Sustainability/CO₂ reports,Parts availability,Maintenance scheduling",Critical,In-house software,<2%,Medium,"Sustainability,Customer satisfaction,Uptime/reliability","Moderate cost, high reliability",Emission metrics,Maybe
>1000,1M–5M,Retail/E-commerce,251–500,"Trucks,Forklifts,Delivery bikes,Vans",6–10,Predictive,4,991,"Mechanical failure,Accidents,Battery/charging (for EVs)",None,Somewhat familiar,Not a priority,Likely,<10%,Sustainability goals,21–30%,"Parts availability,Predictive alerts,Fuel efficiency analytics",Critical,Manual spreadsheet,6–10%,Medium,"Cost reduction,Sustainability,Regulatory compliance","Higher cost, maximum reliability",Fuel efficiency,Maybe
